# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 920 0 13480 1438
p 2 0 920 0 13249 1434
p 2 0 920 0 13311 1442
p 2 0 920 0 12605 1432
p 2 0 920 0 13443 1448
p 2 0 920 0 12608 1433
p 2 0 919 1 13009 1444
p 2 0 920 0 12942 1444
p 2 0 916 4 13028 1437
p 2 0 920 0 12565 1437
p 2 0 919 1 12917 1431
p 2 0 920 0 13468 1457
p 2 0 920 0 12936 1447
p 2 0 919 1 12564 1441
p 2 0 920 0 12945 1440
p 2 0 920 0 13018 1432
p 2 0 920 0 13228 1452
p 2 0 920 0 12846 1431
p 2 0 920 0 12983 1424
p 2 0 920 0 13460 1440
p 2 0 920 0 13006 1433
p 2 0 920 0 13072 1439
p 2 0 920 0 13227 1432
p 2 0 920 0 13347 1440
p 2 0 920 0 13151 1427
p 2 0 920 0 13266 1429
p 2 0 920 0 13777 1445
p 2 0 920 0 13641 1446
p 2 0 920 0 13231 1426
p 2 0 919 1 13833 1445
p 2 0 919 1 13748 1442
p 2 0 918 2 14154 1446
p 2 0 920 0 13517 1430
p 2 0 920 0 13826 1444
p 2 0 920 0 14146 1444
p 2 0 920 0 14233 1464
p 2 0 919 1 13775 1443
p 2 0 918 2 14456 1471
p 2 0 920 0 15130 1437
p 2 0 920 0 15693 1452
p 2 0 920 0 15585 1452
p 2 0 920 0 16165 1459
p 2 0 920 0 16300 1468
p 2 0 919 1 15947 1466
p 2 0 920 0 16384 1471
p 2 0 920 0 16371 1480
p 2 0 920 0 16171 1468
p 2 0 920 0 14940 1500
p 2 4 916 0 14050 1494
p 2 0 920 0 13438 1514
i 2 920 0 0 33024 3969
p 2 0 892 28 6810 1166
p 2 0 902 18 6960 1176
p 2 0 889 31 6913 1153
p 2 0 905 15 7375 1196
p 2 0 900 20 6962 1168
p 2 0 905 15 7434 1195
p 2 0 895 25 6848 1159
p 2 0 891 29 7419 1178
p 2 0 870 50 7163 1157
p 2 0 890 30 7402 1190
p 2 0 893 27 7457 1172
p 2 0 903 17 7259 1213
p 2 0 895 25 7164 1186
p 2 0 903 17 7211 1198
p 2 0 874 46 7242 1156
p 2 0 871 49 7458 1177
p 2 0 848 72 7479 1144
p 2 0 895 25 7591 1200
p 2 0 886 34 7450 1166
p 2 0 910 10 7412 1209
p 2 0 900 20 7094 1187
